Bo'lim,Yaponcha,O'qilishi (kana),Romaji,O'zbekcha tarjima,English (manba),Misol gap
N2 語彙 (文字・語彙・文法),無理,むり,muri,"imkonsiz, iloji yo'q; haddan oshirish",,"無理をしないで、少し休んでください。 (Haddan oshirmay, biroz dam oling.)"
N2 語彙 (文字・語彙・文法),指示,しじ,shiji,"ko'rsatma, yo'riqnoma",,上司の指示に従って作業を進めました。 (Boshliqning ko'rsatmasiga binoan ishni davom ettirdik.)
N2 語彙 (文字・語彙・文法),留学生,りゅうがくせい,ryuugakusei,chet ellik talaba,,大学には多くの外国人留学生がいます。 (Universitetda ko'plab chet ellik talabalar bor.)
N2 語彙 (文字・語彙・文法),外国人,がいこくじん,gaikokujin',"chet ellik, xorijlik",,日本の文化に興味を持つ外国人が増えています。 (Yapon madaniyatiga qiziqadigan chet elliklar ko'paymoqda.)
N2 語彙 (文字・語彙・文法),予約,よやく,yoyaku,"bron, oldindan band qilish",,新幹線のチケットを事前に予約しました。 (Tezyurar poyezd chiptasini oldindan bron qildim.)
N2 語彙 (文字・語彙・文法),安心,あんしん,anshin',"xotirjamlik, tinchlik",,家族が無事だと聞いて安心しました。 (Oilam tinch-omon ekanini eshitib xotirjam bo'ldim.)
N2 語彙 (文字・語彙・文法),体力,たいりょく,tairyoku,jismoniy quvvat,,健康のために運動して体力をつけます。 (Salomatlik uchun sport bilan shug'ullanib quvvat to'playman.)
N2 語彙 (文字・語彙・文法),心配,しんぱい,shinpai,"xavotir, tashvish",,両親に心配をかけないように頑張ります。 (Ota-onamni xavotirga qo'ymaslik uchun astoydil harakat qilaman.)
N2 語彙 (文字・語彙・文法),学習,がくしゅう,gakushuu,"o'rganish, o'qib o'rganish",,効率的な日本語の学習方法を見つけました。 (Yapon tilini samarali o'rganish usulini topdim.)
N2 語彙 (文字・語彙・文法),講習,こうしゅう,koushuu,"o'quv kursi, mashg'ulot",,運転免許の更新のために講習を受けました。 (Haydovchilik guvohnomasini yangilash uchun o'quv kursida qatnashdim.)
N2 語彙 (文字・語彙・文法),練習,れんしゅう,renshuu,"mashq, mashg'ulot",,毎日ピアノの練習を欠かさず続けます。 (Har kuni pianino mashg'ulotini qoldirmasdan davom ettiraman.)
